,Ref_Date,GEO,our_label,gdp_value,energy_value,intensity,level,parent
83,2014,Ontario,Agriculture,5445599.999999999,3372193.560707625,0.6192510578646293,1,
177,2014,Ontario,All other manufacturing,62539099.99999999,7933170.918107155,0.12685137646859573,3,Total manufacturing
247,2014,Ontario,Chemicals and fertilizers manufacturing,7682800.0,2103563.5807733145,0.2738016843824276,3,Total manufacturing
350,2014,Ontario,Commercial and other institutional,82257800.0,20371142.63872717,0.2476499813844665,1,
454,2014,Ontario,Construction,44677500.0,1478766.5997867452,0.03309868725391405,2,Total industrial
535,2014,Ontario,Forestry and logging and support activities for forestry,653000.0,107958.345275404,0.16532671558254824,2,Total industrial
631,2014,Ontario,Mining and oil and gas extraction,7953100.0,1816351.390079347,0.2283828180306229,2,Total industrial
696,2014,Ontario,Pipelines,3465000.0,1486744.052734087,0.4290747626938202,2,Total transportation
737,2014,Ontario,Primary metal manufacturing,4836000.0,5403195.758085657,1.117286136907704,3,Total manufacturing
838,2014,Ontario,Public administration,51114900.0,1498662.4629757742,0.02931948341825523,1,
907,2014,Ontario,Pulp and paper manufacturing,2246900.0,1544926.9131524242,0.6875815181594304,3,Total manufacturing
980,2014,Ontario,Railways,2224500.0,1300253.1766477253,0.5845148018196112,2,Total transportation
1002,2014,Ontario,Refined petroleum products manufacturing,3865500.0,549799.3694456914,0.14223240704842616,3,Total manufacturing
1102,2014,Ontario,Residential,309984400.0,28507738.60699154,0.09196507503923275,1,
1206,2014,Ontario,Retail pump sales,2040500.0,41437541.79794587,20.307543150181754,2,Total transportation
1310,2014,Ontario,Road transport and urban transit,16155100.0,11809998.089208305,0.7310383773055137,2,Total transportation
1414,2014,Ontario,Total airlines,2510300.0,3125632.941619573,1.2451232687804539,2,Total transportation
1518,2014,Ontario,Total industrial,135914000.0,26702708.512412313,0.19646768186067892,1,
1614,2014,Ontario,Total manufacturing,82630400.0,25036997.229335614,0.30299983092585314,2,Total industrial
1693,2014,Ontario,Total marine,254400.0,1337990.8283147914,5.259397910042419,2,Total transportation
1795,2014,Ontario,Total transportation,26649799.999999996,62105450.463232085,2.3304283883268204,1,
1817,2014,Ontario,Cement manufacturing,1460100.0,529019.7764391423,0.36231749636267535,3,Total manufacturing
